SMILES,NAME,VAL
CCCn1c(c(c(=O)n(c1=O)CC(=O)Nc2cccc(c2)S(=O)(=O)N(C)C)N3CCCCC3)N,85271437,-3.85806636854
Cc1ccc(cc1)S(=O)(=O)N(C)CC(=O)NNC(=O)CCC(=O)c2ccc(cc2)F,85271436,-3.98574491299
c1ccc(cc1)CN2CCN(CC2)CCC(=O)NNC(=O)c3cc4ccccc4o3,85271434,-3.83379029382
CC(=O)Nc1cccc(c1)NCC(=O)Nc2cc(ccc2Cl)S(=O)(=O)N3CCCCC3,85271432,-4.11353779661
c1cc(sc1)C(=O)NNC(=O)CC(c2ccc(cc2)Cl)NC(=O)N,85271429,-3.83448179908
Cc1ccc(cc1[N+](=O)[O-])C(=O)COC(=O)[C@H](C(C)C)NC(=O)c2cc(cc(c2)OC)OC,85271426,-4.20191004222
CCN(c1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)N(C)Cc3cccs3,85271425,-4.29742118366
C[C@@H](C(=O)OCC(=O)c1ccc[nH]1)NS(=O)(=O)c2ccc(cc2)NC(=O)C,85271424,-3.96953764668
Cc1ccc(cc1)S(=O)(=O)N(C)CC(=O)NNC(=O)CCS(=O)(=O)c2ccccc2,85271422,-3.8383824437
C[C@@H](C(=O)NNC(=O)COc1ccccc1F)NS(=O)(=O)c2c(cccc2Cl)Cl,85271420,-3.89009323734
CCn1c(=O)c2ccccc2c(n1)C(=O)NCCc3ccc4c(c3)OCCO4,85271418,-4.47530406792
Cc1ccc(nc1)NC(=O)C2CCN(CC2)S(=O)(=O)c3cc(ccc3Cl)[N+](=O)[O-],85271417,-4.43823101262
CS(=O)(=O)N1Cc2ccccc2CC1C(=O)OCC(=O)NCCc3ccc(cc3)S(=O)(=O)N,85271416,-3.9235167383
Cc1ccc(cc1)NC(=O)C2=CN3CCS(=O)(=O)N=C3C=C2,85271415,-4.39775243503
CN(CCc1ccc(c(c1)OC)OC)C(=O)COc2cccc(c2)n3cnnn3,85271413,-4.03223178907
COc1cccc(c1)NC(=O)CN2C(=O)C(NC2=O)Cc3c[nH]c4c3cccc4,85271410,-4.25131506124
Cc1c(c([nH]c1C(=O)OCC(=O)NNC(=O)c2ccc(cc2)[N+](=O)[O-])C)C(=O)C,85271407,-4.11045817624
c1ccc2cc(c(cc2c1)C(=O)OCC(=O)Nc3ccc(cc3)C(=O)N)O,85271405,-4.55719911651
c1ccc2c(c1)c(cc(n2)O)C(=O)Nc3ccc(c(c3)S(=O)(=O)N4CCCC4)Cl,85271400,-4.47400778083
COc1cccc(c1)NC(=O)c2ccccc2NC(=O)c3ccncc3,85271399,-4.07689591901
CN(c1ccccc1)S(=O)(=O)c2ccc(c(c2)C(=O)NCc3ccco3)Cl,85271391,-3.93337068135
COc1ccc(cc1N2C(=O)CC(C2=O)N3CCN(CC3)S(=O)(=O)c4ccccc4F)Cl,85271388,-4.09978063088
CN1CCN(CC1)S(=O)(=O)c2ccc(nc2)N3CCN(CC3)c4ccccc4OC,85271387,-4.2052805115
Cc1cnc(cn1)C(=O)N2CCN(CC2)S(=O)(=O)c3ccc(c(c3F)F)F,85271385,-3.85583330551
CN(Cc1cccc(c1)F)C(=O)c2ccc(cc2)S(=O)(=O)N3CCCCCC3,85271384,-4.20208288018
CN(CC(=O)NCC1COc2ccccc2O1)S(=O)(=O)c3ccc(cc3)Cl,85271373,-4.36085336712
c1cc(ccc1C(=O)NNC(=S)NC2CCCCC2)NC(=O)CC#N,85271371,-3.88169158391
Cc1cccc(c1C)N2CCN(CC2)C(=O)c3ccc(cc3)NC(=O)CC4C(=O)N=C(S4)N5CCCC5,85271368,-4.23427525646
